regulator	target	beta.sign.sum	prior	ens_tf	ens_target
FOXC1	LBP	-27.805483885567199	1	ENSG00000204335	ENSG00000197594
FOXC1	DCTN4	-18.4644683872217	1	ENSG00000204335	ENSG00000107831
FOXC1	IFI44L	-68.835999422173799	1	ENSG00000204335	ENSG00000183454
FOXC1	SLC16A1	-80.022041852439997	1	ENSG00000204335	ENSG00000186442
FOXC1	OLR1	-103.92243760359101	1	ENSG00000204335	ENSG00000124212
FOXC1	HEG1	-37.942106297585099	1	ENSG00000204335	ENSG00000087494
FOXC1	MX2	-32.039962087859699	0	ENSG00000204335	ENSG00000007908
FOXC1	MAFF	-81.230013008225399	1	ENSG00000204335	ENSG00000135919
FOXC1	GCNT1	-40.556836865978397	1	ENSG00000204335	ENSG00000125398
FOXC1	SERPINA1	-36.611008711597705	1	ENSG00000204335	ENSG00000164362
FOXC1	COX7A2P1	-112.786024167148	1	ENSG00000204335	ENSG00000007001
FOXC1	CCL4	-48.460607850371105	1	ENSG00000204335	ENSG00000184937
DLX3	SAMD4A	31.497079309359396	0	ENSG00000102974	ENSG00000188257
DLX3	PRKACA	45.407892936556607	1	ENSG00000102974	ENSG00000117595
DLX3	LYZ	50.5111126201205	1	ENSG00000102974	ENSG00000143365
DLX3	PABPC4	15.397113259266	0	ENSG00000102974	ENSG00000012504
DLX3	ABCC6	46.225804280642002	1	ENSG00000102974	ENSG00000144852
DLX3	ESR1	117.040116267605	1	ENSG00000102974	ENSG00000101076
DLX3	BLNK	62.185541391487703	1	ENSG00000102974	ENSG00000112333
DLX3	IL11	59.988860262824204	1	ENSG00000102974	ENSG00000278570
DLX3	SCD	18.7951348299997	1	ENSG00000102974	ENSG00000185551
DLX3	EIF3L	50.0493259377226	1	ENSG00000102974	ENSG00000140009
DLX3	PDGFB	24.304288837573999	1	ENSG00000102974	ENSG00000196482
DLX3	GZMB	41.981850815486204	1	ENSG00000102974	ENSG00000082175
DLX3	NFKBIA	17.5250512720012	1	ENSG00000102974	ENSG00000136931
DLX3	LIPG	220.09583538749902	1	ENSG00000102974	ENSG00000143921
DLX3	NKAP	12.058502556654998	1	ENSG00000102974	ENSG00000173210
DLX3	EHD4	27.3671472515768	0	ENSG00000102974	ENSG00000081051
DLX3	TNFRSF10A	39.182455880092505	1	ENSG00000102974	ENSG00000111732
DLX3	MDK	32.456238068927895	1	ENSG00000102974	ENSG00000100739
DLX3	CD69	89.73067535558701	1	ENSG00000102974	ENSG00000176697
DLX3	CLEC2B	29.713168472221998	1	ENSG00000102974	ENSG00000182492
DLX3	SCNN1A	47.8757435467937	1	ENSG00000102974	ENSG00000125378
DLX3	CCND3	35.730272571397293	1	ENSG00000102974	ENSG00000175868
DLX3	UPK1B	91.712201690822511	1	ENSG00000102974	ENSG00000275718
DLX3	SOCS2	39.673817487149101	1	ENSG00000102974	ENSG00000164692
DLX3	CD80	157.84853944430799	1	ENSG00000102974	ENSG00000117322
DLX3	INHBA	35.102994168480102	0	ENSG00000102974	ENSG00000132693
DLX3	NR4A1	33.958277808070605	1	ENSG00000102974	ENSG00000108342
DLX3	NMI	19.5199059350841	1	ENSG00000102974	ENSG00000124092
DLX3	CDKN1A	9.1610065942788701	1	ENSG00000102974	ENSG00000137869
DLX3	GNRH2	11.0477767974877	0	ENSG00000102974	ENSG00000211448
DLX3	RBCK1	21.251625175097303	0	ENSG00000102974	ENSG00000152592
DLX3	TICAM1	75.184825069838908	1	ENSG00000102974	ENSG00000146648
DLX3	OPN1SW	39.273185132471397	1	ENSG00000102974	ENSG00000163435
DLX3	LBP	53.598474516665107	1	ENSG00000102974	ENSG00000197594
DLX3	BST2	36.855337167594207	1	ENSG00000102974	ENSG00000130427
DLX3	RARA	65.70197224049501	1	ENSG00000102974	ENSG00000170231
DLX3	DCTN4	11.5170779427498	1	ENSG00000102974	ENSG00000107831
DLX3	EPSTI1	22.767128843928198	1	ENSG00000102974	ENSG00000115226
DLX3	PIM1	45.072401093830202	1	ENSG00000102974	ENSG00000169562
DLX3	IFI44L	80.275398693017593	1	ENSG00000102974	ENSG00000183454
DLX3	IFI44	26.623893542996399	1	ENSG00000102974	ENSG00000164082
DLX3	DUSP5	35.080270678454902	1	ENSG00000102974	ENSG00000152402
DLX3	CXCL9	427.02550115666003	1	ENSG00000102974	ENSG00000213931
DLX3	PMAIP1	16.486535139910501	1	ENSG00000102974	ENSG00000078399
DLX3	COMMD3	20.438908850026198	1	ENSG00000102974	ENSG00000095752
DLX3	MCOLN2	64.135419858419993	1	ENSG00000102974	ENSG00000080709
DLX3	KLF10	82.083038328846087	1	ENSG00000102974	ENSG00000142515
DLX3	SLC25A28	72.374463687951291	1	ENSG00000102974	ENSG00000171346
DLX3	SLC16A1	72.419218778805899	1	ENSG00000102974	ENSG00000186442
DLX3	MX1	25.830449218748804	1	ENSG00000102974	ENSG00000129988
DLX3	ADAR	47.381032769356793	1	ENSG00000102974	ENSG00000012223
DLX3	PRKCD	18.703889642335199	1	ENSG00000102974	ENSG00000087250
DLX3	NPY1R	28.491980302557899	1	ENSG00000102974	ENSG00000198788
DLX3	CLDN2	34.424657736391104	1	ENSG00000102974	ENSG00000089250
DLX3	IFI27	83.466912845839403	1	ENSG00000102974	ENSG00000164128
DLX3	IL13	74.155464992245797	1	ENSG00000102974	ENSG00000181195
DLX3	PTAFR	12.8772626522819	1	ENSG00000102974	ENSG00000008438
DLX3	FABP6	123.82006531850401	1	ENSG00000102974	ENSG00000162896
DLX3	OLR1	117.42524434606001	1	ENSG00000102974	ENSG00000124212
DLX3	HEG1	73.611707313673804	1	ENSG00000102974	ENSG00000087494
DLX3	NR2C2	176.80783300841401	1	ENSG00000102974	ENSG00000258818
DLX3	MAB21L2	74.7741894890098	1	ENSG00000102974	ENSG00000134339
DLX3	MX2	25.085659263211003	0	ENSG00000102974	ENSG00000007908
DLX3	SNN	48.546982951755894	0	ENSG00000102974	ENSG00000196136
DLX3	ANKFY1	24.540717696760101	1	ENSG00000102974	ENSG00000106688
DLX3	GCNT1	57.162911511435702	1	ENSG00000102974	ENSG00000125398
DLX3	FUT4	166.117383509115	1	ENSG00000102974	ENSG00000115353
DLX3	CASP4	50.802122147606497	1	ENSG00000102974	ENSG00000135111
DLX3	SERPINA1	21.415932637232	1	ENSG00000102974	ENSG00000164362
DLX3	IL27	128.56737595781701	1	ENSG00000102974	ENSG00000091513
DLX3	COX7A2P1	26.037781318311897	1	ENSG00000102974	ENSG00000007001
DLX3	CCL15	436.69925363239196	1	ENSG00000102974	ENSG00000158125
DLX3	NR2E3	103.962904432274	1	ENSG00000102974	ENSG00000144331
ZNF76	CCDC109B	1010.54393206392	1	ENSG00000125347	ENSG00000179750
ZNF76	NLRP2	488.50456816732202	1	ENSG00000125347	ENSG00000172936
ZNF76	TNC	245.14572271671003	1	ENSG00000125347	ENSG00000115415
ZNF76	PARP12	250.11728183623902	1	ENSG00000125347	ENSG00000168610
ZNF76	TIMP1	183.15750246784	1	ENSG00000125347	ENSG00000160710
ZNF76	TFEC	373.84113062332602	1	ENSG00000125347	ENSG00000100342
ZNF76	CCL1	113.914506644166	1	ENSG00000125347	ENSG00000107262
ZNF76	MVK	167.376228248422	1	ENSG00000125347	ENSG00000106605
ZNF76	NR3C1	622.61289687756891	1	ENSG00000125347	ENSG00000005059
ZNF76	CD48	1029.9589299147099	1	ENSG00000125347	ENSG00000004468
ZNF76	GBP3	229.94256261159401	1	ENSG00000125347	ENSG00000101017
ZNF76	DUSP1	289.86252667475497	1	ENSG00000125347	ENSG00000086065
ZNF76	NR1D1	449.27326484442199	1	ENSG00000125347	ENSG00000138166
ZNF76	SLC6A6	245.19772761845999	1	ENSG00000125347	ENSG00000158769
ZNF76	GCH1	119.778281052772	1	ENSG00000125347	ENSG00000112773
ZNF76	LMO2	621.34680245400102	1	ENSG00000125347	ENSG00000162645
ZNF76	AGT	380.74418689323699	0	ENSG00000125347	ENSG00000117226
ZNF76	SP110	1546.4388478932901	1	ENSG00000125347	ENSG00000162654
ZNF76	IL6	1099.7790872083699	1	ENSG00000125347	ENSG00000131979
ZNF76	IRF4	473.88045854175698	1	ENSG00000125347	ENSG00000137198
ZNF76	NFKBIZ	475.992758243813	1	ENSG00000125347	ENSG00000068079
ZNF76	THRB	311.308250624263	1	ENSG00000125347	ENSG00000136689
ZNF76	TLR3	213.20838208619801	1	ENSG00000125347	ENSG00000183486
ZNF76	COL1A2	1120.9004099831402	1	ENSG00000125347	ENSG00000158517
ZNF76	FASN	317.05157791446402	1	ENSG00000125347	ENSG00000038210
ZNF76	GRIN1	-658.21461010980101	1	ENSG00000125347	ENSG00000009413
ZNF76	C1S	97.03512524022058	1	ENSG00000125347	ENSG00000138760
ZNF76	CSF1	480.649609892147	1	ENSG00000125347	ENSG00000197249
ZNF76	RXRA	265.70375922422301	1	ENSG00000125347	ENSG00000166750
ZNF76	TNFRSF4	361.23447461497398	1	ENSG00000125347	ENSG00000184602
ZNF76	TAP2	240.13313226248502	1	ENSG00000125347	ENSG00000185215
ZNF76	PDE7A	469.84197011274102	1	ENSG00000125347	ENSG00000102524
ZNF76	ADRA2B	679.29836575973297	1	ENSG00000125347	ENSG00000140105
ZNF76	nan	94.108394073811297	1	ENSG00000125347	ENSG00000101966
FOXJ2	MT3	-91.773940382572007	1	ENSG00000166888	ENSG00000186951
KLF6	SPI1	-54.033834883825101	1	ENSG00000179528	ENSG00000166888
ZFY	ISG15	41.2602884000624	1	ENSG00000105997	ENSG00000066336
MEF2A	MYLIP	271.60172258584299	1	ENSG00000131931	ENSG00000198911
MEF2A	PARP12	103.619137460753	1	ENSG00000131931	ENSG00000168610
MEF2A	LAMP3	353.78340572426697	1	ENSG00000131931	ENSG00000104825
MEF2A	HSP90AA1	469.33235145244004	1	ENSG00000131931	ENSG00000173039
MEF2A	AFP	673.22586581930898	1	ENSG00000131931	ENSG00000104856
MEF2A	NAPA	-496.34298745311202	1	ENSG00000131931	ENSG00000078053
MEF2A	SLC15A3	645.41575846585897	1	ENSG00000131931	ENSG00000069399
MEF2A	SOD2	138.074269744665	1	ENSG00000131931	ENSG00000244731
MEF2A	CD86	39.4684172925854	1	ENSG00000131931	ENSG00000119242
MEF2A	F3	42.954631625750295	1	ENSG00000131931	ENSG00000117091
MEF2A	PLAU	644.54521594244204	1	ENSG00000131931	ENSG00000184371
MEF2A	ADORA2A	192.60971224019499	1	ENSG00000131931	ENSG00000103966
MEF2A	PPARG	451.12566511672895	1	ENSG00000131931	ENSG00000116663
MEF2A	ADAMDEC1	582.45266012284901	1	ENSG00000131931	ENSG00000167996
MEF2A	ADAM19	239.575330645912	1	ENSG00000131931	ENSG00000178950
MEF2A	ETV6	826.39858096309604	1	ENSG00000131931	ENSG00000188290
MEF2A	MCL1	360.93149375062006	1	ENSG00000131931	ENSG00000160888
MEF2A	GBP4	99.491475977882502	1	ENSG00000131931	ENSG00000185022
MEF2A	PIGR	452.34081432193	1	ENSG00000131931	ENSG00000277443
MEF2A	TAGAP	170.179782616003	1	ENSG00000131931	ENSG00000105402
MEF2A	COL1A2	278.44864145807298	1	ENSG00000131931	ENSG00000158517
MEF2A	DEFB1	695.26937470614394	1	ENSG00000131931	ENSG00000146232
MEF2A	NPAS2	185.75230976000199	1	ENSG00000131931	ENSG00000137193
MEF2A	ISG20	262.73243535631002	1	ENSG00000131931	ENSG00000163932
MEF2A	WT1	22.6981388458357	1	ENSG00000131931	ENSG00000021355
MEF2A	PPARA	845.11718496533604	1	ENSG00000131931	ENSG00000185338
MEF2A	ESRRG	414.093054784863	1	ENSG00000131931	ENSG00000168394
MEF2A	HLA-G	818.37183887887693	1	ENSG00000131931	ENSG00000186827
MEF2A	IGHG2	357.18376015320899	1	ENSG00000131931	ENSG00000127191
TFE3	CCND3	72.013403121866091	1	ENSG00000105991	ENSG00000175868
TFE3	CASP4	164.47432186751101	1	ENSG00000105991	ENSG00000135111
PITX1	RELB	207.54543685761001	1	ENSG00000113916	ENSG00000117020
HES2	BTN3A3	250.778542673559	1	ENSG00000123364	ENSG00000166920
HES2	VEGFC	-33.6707703355831	1	ENSG00000123364	ENSG00000056736
MNT	CD83	287.92764492311903	1	ENSG00000180532	ENSG00000123838
MNT	IMPA2	-440.41054707456396	1	ENSG00000180532	ENSG00000204632
TCF3	VCAM1	-65.223484435352603	1	ENSG00000184486	ENSG00000197442
SREBF1	TNIP3	-305.44814687158799	1	ENSG00000184481	ENSG00000131759
TP63	LYZ	-251.74103612313399	1	ENSG00000118260	ENSG00000143365
TP63	TF	-344.308976391594	1	ENSG00000118260	ENSG00000143257
TP63	NPY1R	-326.20673635717998	1	ENSG00000118260	ENSG00000198788
TP63	MB21D1	-249.30130478244999	1	ENSG00000118260	ENSG00000065534
TP63	DNASE1L2	-39.160506809771597	1	ENSG00000118260	ENSG00000112038
ENO1	UPP2	331.54852225574405	1	ENSG00000118495	ENSG00000114650
ENO1	SELE	378.52238510146498	1	ENSG00000118495	ENSG00000072310
ENO1	MYLIP	252.24776637876701	1	ENSG00000118495	ENSG00000198911
ENO1	NOX1	77.520086723746203	1	ENSG00000118495	ENSG00000110921
ENO1	ETV7	441.70645137503402	1	ENSG00000118495	ENSG00000131408
ENO1	LTF	159.59820090429099	1	ENSG00000118495	ENSG00000169710
ENO1	CD74	104.18593300521098	1	ENSG00000118495	ENSG00000160285
ENO1	SPI1	201.480999120348	1	ENSG00000118495	ENSG00000166888
ENO1	EDN1	166.285034799919	1	ENSG00000118495	ENSG00000269335
ENO1	GADD45B	188.93022711118499	1	ENSG00000118495	ENSG00000160113
ENO1	PRKD2	113.54779330478901	1	ENSG00000118495	ENSG00000104899
ENO1	NAMPT	521.55415664940006	1	ENSG00000118495	ENSG00000130203
ENO1	ALOX12	224.831800512977	1	ENSG00000118495	ENSG00000087088
ENO1	SOD2	141.796323705688	1	ENSG00000118495	ENSG00000244731
ENO1	NR4A3	273.67243850026199	1	ENSG00000118495	ENSG00000221869
ENO1	BMP2	104.45898130183001	1	ENSG00000118495	ENSG00000167968
ENO1	GAD1	86.8816242268895	1	ENSG00000118495	ENSG00000106991
ENO1	CRP	325.14335754434899	1	ENSG00000118495	ENSG00000104870
ENO1	IL6ST	186.076036828349	1	ENSG00000118495	ENSG00000160211
ENO1	ADAM19	382.41566158231797	1	ENSG00000118495	ENSG00000178950
ENO1	IER3	157.36127858706101	1	ENSG00000118495	ENSG00000114353
ENO1	TMEM140	372.32379106951799	1	ENSG00000118495	ENSG00000115457
ENO1	HESX1	145.36758437195601	1	ENSG00000118495	ENSG00000100985
ENO1	ARHGEF3	-392.28059868384901	1	ENSG00000118495	ENSG00000163738
ENO1	GRM2	280.99290887945898	1	ENSG00000118495	ENSG00000177000
ENO1	ALDH1A1	272.16294810125999	1	ENSG00000118495	ENSG00000167207
ENO1	C15orf48	485.82254457794897	1	ENSG00000118495	ENSG00000060491
ENO1	LGALS9	-83.296844123166096	1	ENSG00000118495	ENSG00000152256
ENO1	STARD5	183.03250502521499	1	ENSG00000118495	ENSG00000105287
ENO1	AHNAK2	222.12624166086499	1	ENSG00000118495	ENSG00000110446
ENO1	ISG15	278.95721844194304	1	ENSG00000118495	ENSG00000066336
ENO1	TLR9	329.87848155222099	1	ENSG00000118495	ENSG00000130725
ENO1	TICAM2	454.88386351914704	1	ENSG00000118495	ENSG00000110057
FOSL2	SPP1	241.19763411903	1	ENSG00000126804	ENSG00000010278
FOSL2	MAX	245.981626123616	1	ENSG00000126804	ENSG00000188641
RARB	CCL2	158.17558218991502	1	ENSG00000029153	ENSG00000186318
RARB	CCR7	-203.00376470453202	1	ENSG00000029153	ENSG00000120129
RARB	SECTM1	181.99050278701401	1	ENSG00000029153	ENSG00000100292
RARB	GBP4	-173.889223685643	1	ENSG00000029153	ENSG00000185022
RARB	AGER	-205.47722965394902	1	ENSG00000029153	ENSG00000118503
NFKB2	AFP	78.070780287043206	1	ENSG00000175832	ENSG00000104856
NFKB2	MS4A4A	126.079518020184	1	ENSG00000175832	ENSG00000171552
NFKB2	GUCY1A2	-116.646943807136	0	ENSG00000175832	ENSG00000145839
HOXA9	UPK1B	367.57005063454397	1	ENSG00000170365	ENSG00000275718
CIC	PRDM1	116.77800484663	1	ENSG00000171786	ENSG00000143171
CIC	PSME1	111.11214692142001	1	ENSG00000171786	ENSG00000164749
CIC	CD80	637.63003736204303	1	ENSG00000171786	ENSG00000117322
CIC	CCL15	574.88360723544599	1	ENSG00000171786	ENSG00000158125
TCF7	EP300	503.72711731279901	1	ENSG00000244405	ENSG00000151623
TCF7	IER3	-116.89297359617399	1	ENSG00000244405	ENSG00000114353
TCF7	C15orf48	-305.34284446925	1	ENSG00000244405	ENSG00000060491
TCF7	HLA-B	-334.16925893231797	1	ENSG00000244405	ENSG00000025708
NFE2L1	IRF3	206.509035890956	1	ENSG00000140044	ENSG00000146425
NFE2L1	NR5A1	300.947729304186	1	ENSG00000140044	ENSG00000164949
NFE2L1	NRG1	297.81202750365298	1	ENSG00000140044	ENSG00000078081
NFE2L1	P2RY6	96.598550522676504	1	ENSG00000140044	ENSG00000146278
NFE2L1	MTHFR	388.95903295102499	0	ENSG00000140044	ENSG00000090104
NFE2L1	MICB	1069.09932507081	1	ENSG00000140044	ENSG00000123610
NFE2L1	HLA-F	269.74147590805399	1	ENSG00000140044	ENSG00000049249
REST	NR2F6	192.48832334072398	1	ENSG00000141510	ENSG00000101670
TFAP2C	SERPINE2	1125.9353305438199	1	ENSG00000139651	ENSG00000154451
TFAP2C	ANKRD22	1141.47875967604	1	ENSG00000139651	ENSG00000122641
TFAP2C	MT1X	883.99574656127299	1	ENSG00000139651	ENSG00000112096
RFX2	ABCB1	-573.57985526756704	1	ENSG00000121068	ENSG00000077092
KDM2B	MAB21L2	194.52505406271499	1	ENSG00000135100	ENSG00000134339
TBX5	TNFRSF4	97.065479372824285	1	ENSG00000081189	ENSG00000184602
TBX5	MT1M	262.22071778057597	1	ENSG00000081189	ENSG00000145901
TFAP4	PABPC4	-170.282396763614	0	ENSG00000067646	ENSG00000012504
TFAP4	ABCC6	-153.19089504316202	1	ENSG00000067646	ENSG00000144852
TFAP4	PDGFB	-215.07045953334	1	ENSG00000067646	ENSG00000196482
TFAP4	GZMB	-102.00839421980899	1	ENSG00000067646	ENSG00000082175
TFAP4	LIPA	-202.51385335308601	1	ENSG00000067646	ENSG00000018625
TFAP4	CDKN1A	-72.978971430685505	1	ENSG00000067646	ENSG00000137869
TFAP4	LBP	-368.53426511452204	1	ENSG00000067646	ENSG00000197594
TFAP4	RARA	-77.962036914075199	1	ENSG00000067646	ENSG00000170231
TFAP4	PIM1	-163.738164635804	1	ENSG00000067646	ENSG00000169562
TFAP4	DUSP5	-485.77912254340498	1	ENSG00000067646	ENSG00000152402
TFAP4	CLDN2	-114.228544387825	1	ENSG00000067646	ENSG00000089250
TFAP4	AR	-219.75063353376302	1	ENSG00000067646	ENSG00000101327
TFAP4	FABP6	-141.58588705668299	1	ENSG00000067646	ENSG00000162896
TFAP4	OLR1	-205.16868258232202	1	ENSG00000067646	ENSG00000124212
TFAP4	HEG1	-521.37081216933893	1	ENSG00000067646	ENSG00000087494
TFAP4	MAFF	-68.106750759183498	1	ENSG00000067646	ENSG00000135919
TFAP4	CASP4	-179.39351763362203	1	ENSG00000067646	ENSG00000135111
TFAP4	COX7A2P1	-192.971160086532	1	ENSG00000067646	ENSG00000007001
CREM	SELE	296.36547841249296	1	ENSG00000169926	ENSG00000072310
CREM	ETV7	231.45549965949701	1	ENSG00000169926	ENSG00000131408
CREM	RORA	177.480799366182	1	ENSG00000169926	ENSG00000126456
CREM	HOXA9	31.636344568545603	1	ENSG00000169926	ENSG00000104365
CREM	EDN1	114.09157203873001	1	ENSG00000169926	ENSG00000269335
CREM	ALDH1A1	54.589712689220804	1	ENSG00000169926	ENSG00000167207
CREM	AQP4	-148.26287024135399	1	ENSG00000169926	ENSG00000057657
CREM	AKR1C1	-293.505559024109	1	ENSG00000169926	ENSG00000142168
CREM	TLR9	158.571960737739	1	ENSG00000169926	ENSG00000130725
HIVEP1	UPP2	195.42633124547402	1	ENSG00000107807	ENSG00000114650
HIVEP1	GADD45B	254.92852988267398	1	ENSG00000107807	ENSG00000160113
HIVEP1	ARFRP1	101.30714497221399	1	ENSG00000107807	ENSG00000150967
HIVEP1	GAD1	236.64228231206403	1	ENSG00000107807	ENSG00000106991
HIVEP1	TMEM140	137.100709443711	1	ENSG00000107807	ENSG00000115457
HIVEP1	APOBEC3B	-149.24369725547299	1	ENSG00000107807	ENSG00000197747
HIVEP1	PSMB8	-305.93970207818501	1	ENSG00000107807	ENSG00000232810
MZF1	PPP5C	474.61655627411596	1	ENSG00000185002	ENSG00000186480
MZF1	PPARA	605.35364490348297	1	ENSG00000185002	ENSG00000185338
PATZ1	HOXA9	107.775427547878	1	ENSG00000183734	ENSG00000104365
HIF1A	HLA-G	-496.95521417917899	1	ENSG00000129514	ENSG00000186827
NFATC4	MMP9	71.632627533127902	1	ENSG00000156273	ENSG00000148200
NFATC4	FCER2	-107.960582998806	1	ENSG00000156273	ENSG00000012779
NFATC4	PLSCR1	-364.32765276787103	1	ENSG00000156273	ENSG00000073849
NFATC4	ACACA	-39.855259613997504	1	ENSG00000156273	ENSG00000178175
TCFL5	ST6GAL1	164.96810657136399	1	ENSG00000184937	ENSG00000101347
TCFL5	ENO2	142.81828350260699	1	ENSG00000184937	ENSG00000010671
TCFL5	RASGEF1B	-435.66773812080396	1	ENSG00000184937	ENSG00000105509
TCFL5	CXCL11	90.497694587778582	1	ENSG00000184937	ENSG00000102144
TCFL5	DPYD	-240.53728934351298	1	ENSG00000184937	ENSG00000111728
TCFL5	LTB	-69.121519261310993	1	ENSG00000184937	ENSG00000144935
E2F1	RGS1	622.00829177137496	1	ENSG00000137265	ENSG00000198963
E2F1	SOCS2	282.073062341362	1	ENSG00000137265	ENSG00000164692
E2F1	PENK	83.585401112173997	1	ENSG00000137265	ENSG00000173432
ELF4	LSS	305.79499558198995	1	ENSG00000103495	ENSG00000226979
ELF4	PRKCD	488.83813166450699	1	ENSG00000103495	ENSG00000087250
ELF4	UPP1	436.277353062511	1	ENSG00000103495	ENSG00000174175
GATA1	CD83	-270.948983178552	1	ENSG00000175745	ENSG00000123838
GATA1	UPK1B	-125.48356009349399	1	ENSG00000175745	ENSG00000275718
GATA1	FNDC4	670.61837675951699	1	ENSG00000175745	ENSG00000274736
GATA1	C4BPA	-553.75705163941495	1	ENSG00000175745	ENSG00000006210
KLF5	G6PD	-405.46704634010001	1	ENSG00000134138	ENSG00000171236
ZNF423	RTP4	153.18457841296302	1	ENSG00000067082	ENSG00000001084
ZNF423	RASGEF1B	-524.44397244933498	1	ENSG00000067082	ENSG00000105509
ZNF423	AKR1C1	-269.57928631127402	1	ENSG00000067082	ENSG00000142168
RELB	KITLG	143.48032494263398	1	ENSG00000171443	ENSG00000170581
RELB	CREB3L3	252.80859530240699	1	ENSG00000171443	ENSG00000126561
RELB	CXCL2	989.45319621651902	1	ENSG00000171443	ENSG00000077150
RELB	SLC15A3	315.21424772007401	1	ENSG00000171443	ENSG00000069399
RELB	SOX9	161.55875906817101	1	ENSG00000171443	ENSG00000168209
RELB	PML	153.97706529341602	1	ENSG00000171443	ENSG00000234745
RELB	PMM2	145.68722688615401	1	ENSG00000171443	ENSG00000204525
RELB	MCL1	351.68759978583398	1	ENSG00000171443	ENSG00000160888
RELB	S100A4	-121.96755727005501	1	ENSG00000171443	ENSG00000156502
RELB	MT1F	191.91493052717499	1	ENSG00000171443	ENSG00000127666
RELB	HLA-G	1267.3911730598099	1	ENSG00000171443	ENSG00000186827
RELB	HLA-B	443.72752189876803	1	ENSG00000171443	ENSG00000025708
RELB	AMACR	-240.19944180573398	1	ENSG00000171443	ENSG00000168038
KLF1	SERPINE2	-129.88656124796998	1	ENSG00000189079	ENSG00000154451
ETV2	DYNLT1	-335.150747916981	1	ENSG00000106331	ENSG00000027697
ERF	SAMHD1	-278.09190658114602	1	ENSG00000156127	ENSG00000138075
ERF	SAA2	-143.75777056348201	0	ENSG00000156127	ENSG00000131482
HBP1	PADI2	298.01555299504298	0	ENSG00000186130	ENSG00000160654
TFEC	NOX1	239.27534434149601	1	ENSG00000167081	ENSG00000110921
TFEC	LTF	346.31591091775397	1	ENSG00000167081	ENSG00000169710
TFEC	CD74	260.23954393915102	1	ENSG00000167081	ENSG00000160285
TFEC	NUP50	-115.983231552996	1	ENSG00000167081	ENSG00000177463
TFEC	CCNA1	84.008866421172911	1	ENSG00000167081	ENSG00000115414
TFEC	TLR9	168.080121051444	1	ENSG00000167081	ENSG00000130725
